county,year,Arbeitslosenquote_inkar
1059,2000,7.33
1059,2001,7.69
1059,2002,7.77
1059,2003,8.6
1059,2004,8.75
1059,2005,10.23
1059,2006,9.63
1059,2007,9.54
1059,2008,8.47
1059,2009,8.99
1059,2010,8.99
1059,2011,8.49
1059,2012,7.95
1059,2013,7.7
1059,2014,7.34
1059,2015,6.71
1059,2016,6.25
1059,2017,6
1059,2018,5.33
1059,2019,4.3
1059,2020,5.34
1059,1995,
1059,1996,
1059,1997,
1060,1998,8.01
1060,1999,7.48
1060,2000,6.66
1060,2001,6.55
1060,2002,7.1
1060,2003,8
1060,2004,7.88
1060,2005,8.39
1060,2006,7.5
1060,2007,6.07
1060,2008,5.08
1060,2009,5.45
1060,2010,5.38
1060,2011,4.96
1060,2012,4.82
1060,2013,5.1
1060,2014,5.02
1060,2015,4.78
1060,2016,4.79
1060,2017,4.68
1060,2018,4.27
1060,2019,4.05
1060,2020,4.98
1060,1995,
1060,1996,
1060,1997,
1061,1998,9.7
1061,1999,9.27
1061,2000,8.49
1061,2001,8.61
1061,2002,9.24
1061,2003,10.38
1061,2004,10.97
1061,2005,11.59
1061,2006,9.8
1061,2007,7.46
1061,2008,5.82
1061,2009,6.09
1061,2010,6.32
1061,2011,6.06
1061,2012,5.87
1061,2013,6.1
1061,2014,6.27
1061,2015,6.4
1061,2016,6.33
1061,2017,6.11
1061,2018,5.58
1061,2019,5.07
1061,2020,5.79
1061,1995,
1061,1996,
1061,1997,
1062,1998,7.15
1062,1999,6.65
1062,2000,5.82
1062,2001,5.8
1062,2002,6.3
1062,2003,6.87
1062,2004,7.04
1062,2005,7.73
1062,2006,6.52
1062,2007,4.81
1062,2008,4.15
1062,2009,4.55
1062,2010,4.43
1062,2011,4.1
1062,2012,4.07
1062,2013,4.2
1062,2014,4.04
1062,2015,3.78
1062,2016,3.6
1062,2017,3.43
1062,2018,3.19
1062,2019,3.06
1062,2020,3.8
1062,1995,
1062,1996,
1062,1997,
2000,1998,11.28
2000,1999,10.36
2000,2000,8.88
2000,2001,8.25
2000,2002,8.97
2000,2003,9.91
2000,2004,9.67
2000,2005,11.3
2000,2006,10.96
2000,2007,9.17
2000,2008,8.13
2000,2009,8.6
2000,2010,8.18
2000,2011,7.82
2000,2012,7.46
2000,2013,7.4
2000,2014,7.55
2000,2015,7.45
2000,2016,7.08
2000,2017,6.83
2000,2018,6.32
2000,2019,6.13
2000,2020,7.55
2000,1995,
2000,1996,
2000,1997,
3101,1998,13.36
3101,1999,12.14
3101,2000,11.17
3101,2001,10.85
3101,2002,11.34
3101,2003,11.79
3101,2004,11.72
3101,2005,13.18
3101,2006,11.96
3101,2007,10.51
3101,2008,9.18
