county,election_year,afd_local_vote_share,afd_local_ran,total_local_munis_cty,afd_local_ran_prop,total_local_eligible_voters_cty
7211,2013,0.0393399712584685,1,5,0.211961492899879,400134
7211,2017,0.0634862622006278,1,1,1,85355
7231,2013,,0,535,0,444471
7231,2017,0.0206112295664534,1,107,0.157457526014626,90526
7232,2013,,0,1170,0,376217
7232,2017,0.0155861382855248,1,233,0.141763084699696,78737
7233,2013,,0,545,0,247905
7233,2017,,0,109,0,49747
7235,2013,,0,520,0,552446
7235,2017,0.0404028293969548,1,104,0.120101581361157,119707
7311,2013,,0,5,0,178371
7311,2017,0.0964812712826334,1,1,1,36863
7312,2013,,0,5,0,381206
7312,2017,0.107216658718805,1,1,1,76226
7313,2013,0.037725709372313,1,5,0.219185793921296,163423
7313,2017,0.0676760227322025,1,1,1,37428
7314,2013,0.0796889977633401,1,5,0.207962088299338,570378
7314,2017,0.134619237564432,1,1,1,121321
7315,2013,0.0301367386728989,1,5,0.222020311665284,703832
7315,2017,0.053045366012011,1,1,1,162321
7316,2013,,0,5,0,210152
7316,2017,,0,1,0,42472
7317,2013,,0,5,0,178257
7317,2017,0.125463994060876,1,1,1,32026
7318,2013,,0,5,0,186699
7318,2017,0.0866465199735575,1,1,1,37800
7319,2013,,0,5,0,304122
7319,2017,0.107584655754092,1,1,1,64121
7320,2013,0.0510698247776702,1,5,0.196526527890317,139457
7320,2017,0.0914828897338403,1,1,1,26942
7331,2013,,0,345,0,467291
7331,2017,,0,69,0,101675
7332,2013,,0,240,0,523127
7332,2017,0.158684083212385,1,48,0.15412110436569,108551
7333,2013,,0,405,0,293746
7333,2017,,0,81,0,59314
7334,2013,,0,155,0,456068
7334,2017,0.16221008115732,2,31,0.20655000351395,99603
7335,2013,,0,250,0,413839
7335,2017,0.0769230769230769,1,50,0.00920889913433947,83289
7336,2013,,0,490,0,304402
7336,2017,,0,98,0,57273
7337,2013,,0,375,0,427061
7337,2017,0.0887115729047149,2,75,0.131533975016263,90699
7338,2013,0.0816712951274931,1,125,0.0268955940082555,573923
7338,2017,0.0996755952821781,2,25,0.197691103574224,122656
7339,2013,,0,320,0,757777
7339,2017,,0,64,0,166355
7340,2013,,0,420,0,409058
7340,2017,,0,84,0,79533
8111,2013,0.0474445960133412,1,5,0.220685156083755,2001938
8111,2017,0.0609129094097103,1,1,1,452227
8115,2013,,0,130,0,1309719
8115,2017,0.0289399454414684,4,26,0.413586416937237,298136
8116,2013,,0,220,0,1843010
8116,2017,,0,44,0,411065
8117,2013,,0,190,0,926625
8117,2017,0.0962717591942293,2,38,0.273398262437095,199705
8118,2013,0.0517929681164653,2,195,0.0154656511175288,1828633
8118,2017,,0,39,0,415290
8119,2013,0.0529668848252919,1,155,0.0227951569547045,1512602
8119,2017,0.0812198748203506,3,31,0.31988227523279,342154
8121,2013,0.0412920079203423,1,5,0.211900612192387,411962
8121,2017,0.0966806881657147,1,1,1,89752
8125,2013,,0,230,0,1159677
8125,2017,0.0382405133976368,2,46,0.0609619223381417,265510
8126,2013,,0,80,0,402921
8126,2017,0.0511163006985503,1,16,0.215528930579945,89974
8127,2013,,0,150,0,694370
8127,2017,,0,30,0,156776
8128,2013,,0,90,0,520221
8128,2017,,0,18,0,108547
8135,2013,,0,55,0,497224
8135,2017,0.0118455039752275,2,11,0.410142042191508,104476
8136,2013,,0,210,0,1159449
8136,2017,0.0586338505439629,1,42,0.211119314351748,249224
8211,2013,,0,5,0,205317
8211,2017,0.062836952213276,1,1,1,43066
8212,2013,0.0556308271893597,1,5,0.217910038398245,1050048
8212,2017,0.0712100888919563,1,1,1,234850
8215,2013,0.0294084748819255,1,160,0.0212726848101083,1588563
8215,2017,0.0370249662565371,7,32,0.30280029623156,352427
8216,2013,,0,115,0,844131
8216,2017,0.0811763546220541,5,23,0.546313205481828,184537
8221,2013,0.0383874955508012,1,5,0.216747204113377,494387
8221,2017,0.0502744768908166,1,1,1,108971
8222,2013,0.078271024918204,1,5,0.215004645687654,1080572
8222,2017,0.0919973520541237,1,1,1,238496
8225,2013,,0,135,0,552226
8225,2017,0.0397769706710694,4,27,0.394440824445283,116636
8226,2013,,0,270,0,1977814
8226,2017,0.0341355731438109,1,54,0.028080542533763,429835
8231,2013,0.108407982621916,1,5,0.212536223443075,420653
8231,2017,0.148836283616787,1,1,1,92106
8235,2013,,0,125,0,563812
8235,2017,0.0574032935823655,2,25,0.211796684325233,122509
8236,2013,,0,140,0,716083
8236,2017,0.0603809997849325,4,28,0.215445817574661,158114
8237,2013,,0,80,0,436653
8237,2017,,0,16,0,93848
8311,2013,,0,5,0,743521
8311,2017,0.0361370033499595,1,1,1,170964
8315,2013,,0,250,0,918163
8315,2017,0.0657204015187552,2,50,0.0793586039412934,208358
8316,2013,,0,120,0,587567
8316,2017,,0,24,0,131861
8317,2013,0.0277572697611279,1,255,0.0297646422421861,1554697
8317,2017,0.0616110123907588,7,51,0.433088831264729,346691
8325,2013,,0,105,0,522835
8325,2017,0.0355090888308675,5,21,0.424183006535948,111690
8326,2013,0.056019479895654,1,100,0.0822214659375395,775722
8326,2017,0.066179296641763,1,20,0.393544884169884,165760
8327,2013,,0,175,0,484444
8327,2017,0.0266757563807698,2,35,0.357756292032266,107358
8335,2013,,0,125,0,1000991
8335,2017,0.0719836306786831,1,25,0.0435268005475738,225723
8336,2013,,0,175,0,813998
8336,2017,0.0317612800576386,1,35,0.214008242129442,177624
8337,2013,0.0368450579118991,1,160,0.0296927255289994,607893
8337,2017,0.0450924209864725,2,32,0.0931415275240831,131939
8415,2013,,0,130,0,1015431
8415,2017,0.0739131743501556,1,26,0.390091314808024,223622
8416,2013,,0,75,0,752385
8416,2017,0.00918502188919406,1,15,0.391237298881102,175083
8417,2013,,0,125,0,713068
8417,2017,0.0837483894832588,3,25,0.201325104613522,151988
8421,2013,,0,5,0,410890
8421,2017,0.0171301543957271,1,1,1,93162
8425,2013,,0,275,0,682046
8425,2017,,0,55,0,153853
8426,2013,,0,225,0,685933
8426,2017,,0,45,0,157800
8435,2013,,0,115,0,754393
8435,2017,,0,23,0,172326
8436,2013,0.0196653285823824,1,195,0.0191467822698804,993744
8436,2017,,0,39,0,224963
8437,2013,,0,125,0,479936
8437,2017,,0,25,0,103889
9161,2013,,0,5,0,426810
9161,2021,0.0762311871048179,1,1,1,101101
9162,2013,0.024947375235221,1,5,0.231367722044854,4699895
9162,2021,0.0385925832554132,1,1,1,1110571
9163,2013,,0,5,0,211308
9163,2021,0.0618705706825811,1,1,1,46511
9171,2013,,0,120,0,407343
9171,2021,0.0425406657687206,2,24,0.280745677842812,88671
9172,2013,,0,75,0,383380
9172,2021,0.0219201996821679,5,15,0.514672474765217,85398
9173,2013,,0,105,0,437109
9173,2021,0.0125660350358008,2,21,0.180838134010534,101201
9174,2013,,0,85,0,480035
9174,2021,0.0433480217883791,2,17,0.333916497633536,118320
9175,2013,,0,105,0,444076
9175,2021,0.0227234330123332,1,21,0.171451659766107,110136
9176,2013,,0,150,0,438235
9176,2021,,0,30,0,103500
9177,2013,,0,130,0,427314
9177,2021,0.0647093077569415,6,26,0.547042279496519,108445
9178,2013,,0,120,0,546744
9178,2021,0.0430375098956131,3,24,0.478586929243124,135478
9179,2013,,0,115,0,740234
9179,2021,,0,23,0,168728
9180,2013,,0,110,0,329366
9180,2021,0.0442282176028306,1,22,0.303659001936204,70757
9181,2013,,0,155,0,393636
9181,2021,,0,31,0,93185
9182,2013,,0,85,0,350493
9182,2021,,0,17,0,79815
9183,2013,,0,155,0,406758
9183,2021,0.0887977188210184,2,31,0.380801812982248,92665
9184,2013,,0,145,0,1123143
9184,2021,0.0509350393700787,1,29,0.0819517030095513,266352
9185,2013,,0,90,0,333511
9185,2021,0.0483161294901106,2,18,0.346921482485758,76709
9186,2013,,0,95,0,414509
9186,2021,0.0551281191183739,2,19,0.130107451925471,100417
9187,2013,,0,230,0,882143
9187,2021,0.056147309186442,4,46,0.223930465215782,208011
9188,2013,,0,70,0,472392
9188,2021,0.00613839285714286,1,14,0.0568487652863686,105895
9189,2013,,0,175,0,635425
9189,2021,0.0554031815688426,1,35,0.115777945197835,143352
9190,2013,,0,170,0,472128
9190,2021,0.0438710470183707,3,34,0.284461795041415,107329
9261,2013,,0,5,0,237106
9261,2021,0.0578775637041641,1,1,1,55579
9262,2013,,0,5,0,199091
9262,2021,0.0371141172389872,1,1,1,42395
9263,2013,,0,5,0,171208
9263,2021,0.0640114684617302,1,1,1,37431
9271,2013,,0,130,0,436986
9271,2021,0.0768090216055302,2,26,0.373835560955853,96291
9272,2013,,0,125,0,314868
9272,2021,,0,25,0,65652
9273,2013,,0,120,0,404895
9273,2021,,0,24,0,94981
9274,2013,,0,175,0,532834
9274,2021,,0,35,0,125961
9275,2013,,0,190,0,712544
9275,2021,0.0526383859286084,1,38,0.086123138994853,159121
9276,2013,,0,120,0,314899
9276,2021,,0,24,0,64103
9277,2013,,0,155,0,448976
9277,2021,0.0479892761394102,1,31,0.0816658367293015,98401
9278,2013,,0,185,0,357482
9278,2021,,0,37,0,81708
9279,2013,,0,75,0,338066
9279,2021,0.0447158960499565,4,15,0.396516300766259,77389
9361,2013,,0,5,0,168306
9361,2021,,0,1,0,33956
9362,2013,,0,5,0,497094
9362,2021,0.0444568830992605,1,1,1,115502
9363,2013,,0,5,0,168942
9363,2021,0.0623040297294159,1,1,1,34213
9371,2013,,0,135,0,402833
9371,2021,,0,27,0,84134
9372,2013,,0,195,0,499098
9372,2021,0.0126192803134703,2,39,0.0414094724048501,104493
9373,2013,,0,95,0,464582
9373,2021,0.0364333652924257,1,19,0.0404664711857261,104358
9374,2013,,0,190,0,378412
9374,2021,0.059950654563182,2,38,0.0663419310541384,77191
9375,2013,,0,205,0,667438
9375,2021,,0,41,0,154747
9376,2013,,0,165,0,557270
9376,2021,0.0657233937980264,3,33,0.309795627134193,117726
9377,2013,,0,130,0,308420
9377,2021,,0,26,0,59216
9461,2013,,0,5,0,272187
9461,2021,0.0484090549311382,1,1,1,58367
9462,2013,,0,5,0,286818
9462,2021,0.0391722610561285,1,1,1,58945
9463,2013,,0,5,0,166740
9463,2021,0.0335752640585354,1,1,1,32268
9464,2013,,0,5,0,190003
9464,2021,0.048504106960849,1,1,1,34778
9471,2013,,0,180,0,533997
9471,2021,0.0692180486652492,1,36,0.0486573233850911,119016
9472,2013,,0,165,0,417357
9472,2021,0.023728813559322,1,33,0.0490475019611976,85407
9473,2013,,0,85,0,349197
9473,2021,0.0751401524634771,2,17,0.27143916801647,66059
9474,2013,0.0154170723790977,1,145,0.0567284104241476,421905
9474,2021,0.0196021278146178,1,29,0.264848199374813,93412
9475,2013,,0,135,0,420769
9475,2021,0.0736355672516311,2,27,0.18467179395457,78274
9476,2013,,0,90,0,297111
9476,2021,0.113367868150996,4,18,0.479092981920681,55699
9477,2013,,0,110,0,305361
9477,2021,0.0539545810493344,1,22,0.359791551467015,59679
9478,2013,,0,55,0,272801
9478,2021,0.0352803814185634,3,11,0.530330581517984,54994
9479,2013,,0,85,0,335074
9479,2021,0.0414811873953248,2,17,0.352573865367042,59094
9561,2013,,0,5,0,153517
9561,2021,0.0633581055548558,1,1,1,32551
9562,2013,,0,5,0,383174
9562,2021,0.0366894379535636,1,1,1,83064
9563,2013,,0,5,0,415417
9563,2021,0.0588825337203346,1,1,1,98567
9564,2013,,0,5,0,1815531
9564,2021,0.056860970513637,1,1,1,389547
9565,2013,,0,5,0,146194
9565,2021,,0,1,0,32531
9571,2013,,0,290,0,673796
9571,2021,,0,58,0,148083
9572,2013,,0,125,0,479716
9572,2021,0.0423899136636365,2,25,0.267518613383275,108927
9573,2013,,0,70,0,428219
9573,2021,0.0433698201469956,4,14,0.504955432275759,96258
9574,2013,,0,135,0,632305
9574,2021,0.0372504747428971,2,27,0.106899738857428,136324
9575,2013,,0,190,0,371134
9575,2021,,0,38,0,81086
9576,2013,,0,80,0,461170
9576,2021,,0,16,0,102196
9577,2013,,0,135,0,357171
9577,2021,,0,27,0,75309
9661,2013,,0,5,0,249247
9661,2021,0.0536287732819525,1,1,1,53901
9662,2013,,0,5,0,203862
9662,2021,0.0835130252345708,1,1,1,39206
9663,2013,,0,5,0,493240
9663,2021,0.0383058876186569,1,1,1,102743
9671,2013,,0,160,0,661265
9671,2021,0.0553039825894558,4,32,0.1794047936373,138809
9672,2013,,0,130,0,420073
9672,2021,0.058242108619407,1,26,0.215892687392177,85209
