county,election_year,afd_local_vote_share,afd_local_ran,total_local_munis_cty,afd_local_ran_prop,total_local_eligible_voters_cty
15082,2013,0.0650833841898198,6,50,0.104956174311642,807175
15082,2017,0.161416761237041,9,10,0.911696303982253,139745
15083,2013,0.0220689655172414,1,169,0.0220897830997287,765467
15083,2017,0.133402346855461,10,34,0.628401081789871,146424
15084,2013,0.0240024360093853,5,164,0.0817806644135129,861903
15084,2017,0.166782135058312,7,33,0.559364854874482,155555
15085,2013,0.0270733805025659,2,98,0.024568661677993,1018574
15085,2017,0.118297706227426,9,20,0.807619006600411,185746
15086,2013,,0,39,0,416882
15086,2017,0.135882359587609,5,8,0.606055142750441,77653
15087,2013,,0,110,0,701213
15087,2017,0.165555518127357,8,22,0.698920553406423,118394
15088,2013,0.0350424197713021,1,100,0.00927876292601417,847419
15088,2017,0.153662942825075,16,20,0.977782124738131,158476
15089,2013,0.0322951727663926,1,105,0.024832298136646,966000
15089,2017,0.166470349625067,5,21,0.505446543633136,164508
15090,2013,,0,125,0,537841
15090,2017,0.1497366998734,5,25,0.637901914503016,95325
15091,2013,0.0289006108307867,2,45,0.0819708922522499,619354
15091,2017,0.152271931829303,9,9,1,109585
16051,2013,0.0446202917748767,1,5,0.203525119700814,829986
16051,2017,0.14855374893937,1,1,1,172389
16052,2013,,0,5,0,447781
16052,2017,0.28753164556962,1,1,1,78537
16053,2013,,0,5,0,412073
16053,2017,0.100169975305474,1,1,1,84990
16054,2013,,0,5,0,195139
16054,2017,0.120771139380095,1,1,1,31916
16055,2013,,0,5,0,252223
16055,2017,0.110482332039218,1,1,1,51736
16061,2013,,0,340,0,432758
16061,2017,0.110778776305883,6,68,0.502295355631074,83865
16062,2013,,0,75,0,387007
16062,2017,0.191728936206752,2,15,0.619590523627436,70871
16063,2013,,0,159,0,726246
16063,2017,0.108629942294015,5,32,0.500381729823377,136222
16064,2013,,0,149,0,460140
16064,2017,0.150511952940136,1,30,0.349725008087997,86548
16065,2013,,0,139,0,364433
16065,2017,0.112397018600935,2,28,0.389377505671753,64354
16066,2013,,0,195,0,586220
16066,2017,0.108874835554959,3,39,0.452259386937483,107330
16067,2013,,0,150,0,588484
16067,2017,0.168951094272187,4,29,0.535424912254499,107128
16068,2013,,0,190,0,316161
16068,2017,0.142008814194704,3,38,0.463674671269737,59091
16069,2013,,0,159,0,284889
16069,2017,0.209810523536014,1,32,0.18034639251644,53985
16070,2013,,0,80,0,469692
16070,2017,0.152074064204661,2,16,0.612018148286435,88383
16071,2013,,0,195,0,351286
16071,2017,0.184629408877358,1,39,0.268757194690137,68627
16072,2013,,0,40,0,283105
16072,2017,0.220646424444525,3,7,0.735177587621615,42655
16073,2013,,0,130,0,505289
16073,2017,0.192173119093642,3,26,0.538911650733376,90063
16074,2013,0.135529764133283,1,455,0.00395623079102818,367016
16074,2017,0.185680566483084,1,90,0.0192911298066587,69773
16075,2013,,0,295,0,385183
16075,2017,0.137669568124234,2,59,0.192195022913162,68956
16076,2013,,0,225,0,484588
16076,2017,0.115286878141711,4,45,0.451374655452682,84894
16077,2013,,0,150,0,453297
16077,2017,0.224334316688624,2,30,0.136128957499131,77669
