county,isei_combined_2015
9180,0.0989509
9181,-0.1455344
9182,0.7169515
9183,-0.3206538
9184,0.6006866
9185,-0.1039863
9186,-0.1362327
9187,-0.2503952
9188,0.0091044
9189,-0.238071
9190,0.15542
9261,0.511685
9262,0.2248417
9263,-0.3681414
9271,-0.4256896
9272,-0.336055
9273,-0.3080314
9274,0.1077006
9275,-0.0916101
9276,0.1394641
9277,0.0115638
9278,-0.2431602
9279,-0.3824134
9361,-0.4781724
9362,-0.105788
9363,-1.032906
9371,-0.3440042
9372,-0.4869859
9373,-0.0996935
9374,0.0473218
9375,-0.1038387
9376,0.1034545
9377,0.0817986
9461,0.4720969
9462,0.0223263
9463,0.4429633
9464,-0.3306602
9471,-0.1681205
9472,-0.0511565
9473,0.0499171
9474,-0.0821874
9475,-0.218655
9476,-0.5746255
9477,-0.5757001
9478,0.0106043
9479,-0.5459554
9561,
9562,0.5213418
9563,0.0078164
9564,0.1458298
9565,0.7327529
9571,-0.5372857
9572,0.1846887
9573,0.2510278
9574,0.0382683
9575,-0.2508428
9576,-0.0621158
9577,-0.3600724
9661,-0.3038714
9662,-0.5219839
9663,0.6712166
9671,0.0577541
9672,0.0500711
9673,-0.6511648
9674,-0.2511112
9675,-0.6249496
9676,-0.1318602
9677,-0.0502276
9678,-0.054767
9679,0.5857639
9761,-0.0193697
9762,-0.3837101
9763,-0.4743961
9764,-0.791397
9771,0.0403392
9772,0.1107586
9773,-0.6460929
9774,-0.0347258
9775,-0.0638673
9776,0.3454106
9777,-0.1810739
9778,-0.2202935
9779,0.0257714
9780,-0.4764888
10041,-0.21708
10042,0.0726322
10043,-0.3145269
10044,-0.404897
10045,0.1537542
10046,0.5784408
11000,0.3535794
12051,0.1990691
12052,0.003905
12053,-0.1405533
12054,0.3190452
12060,0.0438375
12061,0.1645508
12062,-0.2700193
12063,-0.0747674
12064,-0.370772
12065,0.0948493
12066,-0.209398
12067,0.0980119
12068,-0.2613451
12069,-0.0410256
12070,-0.1978768
12071,-0.0282857
12072,-0.2027891
12073,-0.2456956
13003,0.3155685
13004,-0.1921494
13071,-0.1427482
13072,-0.0860704
13073,-0.2008164
13074,-0.328253
13075,0.076404
13076,0.0306947
14511,-0.0737569
14521,-0.1995743
14522,0.1119363
14523,-0.1486053
14524,-0.1886848
14612,0.3459769
14625,-0.1148361
14626,-0.3608487
14627,-0.0783359
14628,-0.2866029
14713,0.1403267
14729,0.1346079
14730,0.0775512
15001,0.1561702
15002,0.0672441
15003,0.1554002
15081,-0.2786798
15082,-0.3473936
15083,-0.4108855
15084,-0.2600716
15085,0.2303015
15086,-0.4276394
15087,-0.565045
15088,0.0573917
15089,-0.3928104
15090,0.0384314
15091,0.0292109
16051,-0.2027287
16052,-0.0934333
16053,0.6607125
16054,-0.1416521
16055,0.4943615
16056,-0.2820615
16061,-0.2150817
16062,-0.5305998
16063,-0.1053198
16064,-0.3330589
16065,-0.2951201
16066,-0.431394
16067,0.0711508
16068,-0.2912841
16069,-0.35235
16070,-0.5139765
16071,-0.1940948
16072,-0.1197501
16073,-0.2022671
16074,-0.363894
16075,-0.4308895
16076,-0.2219508
16077,-0.4007623
