wk_id,brownweights,brown1,brown0_3,brown0_5,total_employees,state,election_year,brownness_share,brown1_share,brown0_3_share,brown0_5_share
1,5208.50687390742,3048.64532376049,6575.51588782027,4354.60852387114,98522.5968892019,1,2017,0.0528661143571448,0.0309436151707306,0.0667411953748546,0.0441990838788823
2,3395.20356177142,1592.77473827665,4767.7684004379,2999.89861079327,77254.2255095002,1,2017,0.0439484512255437,0.0206173154642626,0.0617153090202373,0.0388315149237289
3,4289.69887869811,2147.75855419049,5836.16345414416,3599.48923644532,73631.1220402427,1,2017,0.0582593169822076,0.0291691678013088,0.0792621827894247,0.0488854323648367
4,2928.59535908689,1145.16851930743,4142.20722324012,2128.55058942176,77367.7527104098,1,2017,0.037852920066694,0.0148016257315091,0.0535391953123486,0.0275121160283535
5,3038.10387548049,1284.91101444729,4337.85094625156,2020.72835737743,124085.921538716,1,2017,0.0244838724474683,0.0103550104517407,0.0349584456678117,0.0162849123600773
6,2869.49902777863,1207.76089003962,4110.04384822839,2203.23784861156,75987.9221497643,1,2017,0.0377625673475206,0.015894116536826,0.0540881199531673,0.0289945794842134
7,4277.74316114854,2187.75912528249,5908.2167638047,3520.57336781967,91164.6350352552,2,2017,0.0469232741346933,0.023997892652523,0.0648082094720159,0.0386177531063246
8,5565.25525563971,2727.84606413132,7532.56236150453,4778.11168161698,105351.325707663,2,2017,0.0528256784454957,0.0258928499077529,0.0714994549039321,0.0453540726661157
9,3197.28700696595,1511.23928150795,4503.41971142397,3013.76402622382,74114.2316816793,1,2017,0.0431399872118799,0.0203906759500486,0.0607632246768228,0.0406637693981359
10,3874.93645483784,1721.66250041138,5532.94561899968,3185.23710531225,71497.5857016204,2,2017,0.054196745481855,0.0240800089054246,0.077386467874457,0.0445502750065596
11,4387.00002467654,2637.21864446333,5651.93332902588,3542.76964498609,103923.051721967,1,2017,0.0422139260922917,0.025376647440251,0.0543857521057685,0.0340903157315309
12,6849.23130467035,4205.37208025761,8938.41757368967,6202.57797043402,106781.118868949,1,2017,0.0641427190239156,0.0393831055977114,0.0837078471209844,0.0580868419073819
13,5239.72167633764,3306.14443439347,6691.5459966643,4782.38306887506,66043.4112326674,13,2017,0.0793375384242098,0.0500601706163557,0.101320417461332,0.0724127203549038
14,773.827832200361,383.011170745507,1030.91157366966,656.232842859283,19603.5490565459,13,2017,0.0394738641441036,0.0195378484600274,0.0525880069316033,0.033475205992874
15,2571.72265994692,1321.71689213962,3438.42106208833,2417.05977291673,76002.7903211055,13,2017,0.0338372137270435,0.0173903732554486,0.0452407213940605,0.0318022504529748
16,4070.87324632289,1946.26271786103,5206.32631025062,3480.70593905721,97975.555601509,13,2017,0.0415498868195262,0.0198647785757599,0.0531390332852619,0.0355262689523712
17,4962.09045841503,2702.31245183465,6670.78866350596,4413.13343280749,109493.032339712,13,2017,0.0453187783038074,0.024680222970266,0.0609243211276607,0.0403051531088785
