Title,ISCO08,Greenness,Green dummy,Brownness,Brown dummy
Sales and marketing managers,1221,0.0860184,0,0,0
Securities and finance dealers and brokers,3311,0.006681,0,0,0
Senior government officials,1112,0.0377963,0,0,0
Senior officials of special-interest organizations,1114,0.1698594,0,0,0
"Sewing, embroidery and related workers",7533,0,0,0.3333333,1
Sheet-metal workers,7213,0.0713787,0,0.3333333,1
Shotfirers and blasters,7542,0,0,1,1
Software and applications developers and analysts n.e.c.,2519,0.0061315,0,0,0
"Sports, recreation and cultural centre managers",1431,0.1980947,0,0,0
Spray painters and varnishers,7132,0,0,0.5,1
Stationary plant and machine operators n.e.c.,8189,0,0,0.5,1
Stock clerks,4321,0.0284543,0,0,0
Subsistence livestock farmers,6320,0,0,1,1
"Supply, distribution and related managers",1324,0.2216368,1,0,0
Technical and medical sales professionals (excluding ICT),2433,0.055,0,0,0
Telecommunications engineering technicians,3522,0.100273,0,0,0
Telecommunications engineers,2153,0.0983575,0,0,0
Tobacco preparers and tobacco products makers,7516,0,0,0.6666667,1
Toolmakers and related workers,7222,0,0,0.3333333,1
Town and traffic planners,2164,0.3604269,1,0,0
Trade brokers,3324,0.004454,0,0,0
Training and staff development professionals,2424,0.0862385,0,0,0
Transport conductors,5112,1,1,0,0
Upholsterers and related workers,7534,0,0,1,1
Weaving and knitting machine operators,8152,0,0,1,1
Well drillers and borers and related workers,8113,0.0083476,0,1,1
Wood processing plant operators,8172,0,0,1,1
Wood treaters,7521,0,0,1,1
Woodworking-machine tool setters and operators,7523,0,0,1,1
